date	strMMDD	TempDailyAvg	CloudCoverDailyAvg	CloudCoverDailyAvgInt	PercipDailyTotal	PercipDailyTotalInt
2014-01-01	01-01	8.866667	4.6666665	5	2.8	3
2014-01-02	01-02	8.7875	3.4583333	3	7.0	7
2014-01-03	01-03	8.55	2.75	3	13.0	13
2014-01-04	01-04	7.454167	4.75	5	9.0	9
2014-01-05	01-05	5.7083335	4.0833335	4	0.8	1
2014-01-06	01-06	11.104167	4.1666665	4	16.0	16
2014-01-07	01-07	10.370833	3.5833333	4	23.0	23
2014-01-08	01-08	9.221739	3.6956522	4	0.8	1
2014-01-09	01-09	8.554167	2.9166667	3	5.0	5
2014-01-10	01-10	6.445833	2.5	3	0.2	0
2014-01-11	01-11	6.4375	2.7083333	3	2.2	2
2014-01-12	01-12	3.775	4.125	4	0.8	1
2014-01-13	01-13	6.9958334	2.1666667	2	9.2	9
2014-01-14	01-14	4.5333333	2.625	3	0.4	0
2014-01-15	01-15	9.6125	5.25	5	8.0	8
2014-01-16	01-16	8.570833	4.0833335	4	6.4	6
2014-01-17	01-17	7.4333334	3.375	3	21.0	21
2014-01-18	01-18	8.341666	4.875	5	4.2	4
2014-01-19	01-19	6.9583335	3.0833333	3	0.4	0
2014-01-20	01-20	4.445833	2.875	3	0.4	0
2014-01-21	01-21	4.4791665	4.7916665	5	0.0	0
2014-01-22	01-22	7.7916665	6.3333335	6	9.6	10
2014-01-23	01-23	5.320833	3.2916667	3	2.0	2
2014-01-24	01-24	5.475	6.2916665	6	0.0	0
2014-01-25	01-25	8.270833	4.6666665	5	13.0	13
2014-01-26	01-26	5.675	5.625	6	8.0	8
2014-01-27	01-27	4.7166667	2.5416667	3	2.4	2
2014-01-28	01-28	6.4	3.4166667	3	0.2	0
2014-01-29	01-29	4.4583335	6.5416665	7	5.6	6
2014-01-30	01-30	4.429167	7.1666665	7	9.0	9
2014-01-31	01-31	5.2875	5.5	6	7.2	7
